strain,label
LR699002,Bifidobacterium animalis isolate MGYG-HGUT-02459
CP035497,Bifidobacterium animalis strain 01
CP010433,Bifidobacterium animalis strain A6
CP042940,Bifidobacterium animalis strain B06
CP017098,Bifidobacterium animalis strain BL3
CP047190,Bifidobacterium animalis strain Probio-M8
CP007755,Bifidobacterium animalis strain RH
CP009045,Bifidobacterium animalis subsp. lactis strain BF052
CP031154,Bifidobacterium animalis subsp. lactis strain HN019
CP031703,Bifidobacterium animalis subsp. lactis strain IDCC4301
CP022724,Bifidobacterium animalis subsp. lactis strain S7
CP001213,Bifidobacterium animalis subsp. lactis AD011
CP003497,Bifidobacterium animalis subsp. lactis B420
CP001853,Bifidobacterium animalis subsp. lactis BB-12
CP003498,Bifidobacterium animalis subsp. lactis Bi-07
CP001515,Bifidobacterium animalis subsp. lactis Bl-04
CP004053,Bifidobacterium animalis subsp. lactis Bl12
CP003039,Bifidobacterium animalis subsp. lactis BLC1
CP002915,Bifidobacterium animalis subsp. lactis CNCM I-2494
CP001606,Bifidobacterium animalis subsp. lactis DSM 10140
CP007522,Bifidobacterium animalis subsp. lactis KLDS2.0603
CP001892,Bifidobacterium animalis subsp. lactis V9
